candidate,fold,fit_devices,holdout_devices,device_overlap,pr_auc,roc_auc,brier,log_loss,ece_10
logistic_regression__00,0,6400,1600,0,0.803021012917,0.924077788329,0.205703401189,0.603944183955,0.361858860482
logistic_regression__00,1,6400,1600,0,0.803828187669,0.923914130523,0.204873318304,0.602223598474,0.361571569824
logistic_regression__00,2,6400,1600,0,0.802198134254,0.923279203028,0.205180170016,0.602888102926,0.363067483077
logistic_regression__00,3,6400,1600,0,0.803381933582,0.92485923324,0.205641988293,0.603867453408,0.364751665731
logistic_regression__00,4,6400,1600,0,0.809431131614,0.926275432892,0.205699878035,0.603940360547,0.362962367725
logistic_regression__01,0,6400,1600,0,0.824549022263,0.929620497881,0.119379295331,0.414465578053,0.246473863192
logistic_regression__01,1,6400,1600,0,0.827718008567,0.930000482583,0.118450348078,0.412114113949,0.246845234419
logistic_regression__01,2,6400,1600,0,0.823740703352,0.928783926823,0.118417075578,0.412395688013,0.243445995926
logistic_regression__01,3,6400,1600,0,0.826683887423,0.930723940463,0.118369230904,0.41270307194,0.244609789576
logistic_regression__01,4,6400,1600,0,0.832888037222,0.932284808872,0.1191761421,0.414138520759,0.249387461221
logistic_regression__02,0,6400,1600,0,0.870312680311,0.939650426621,0.0738496768871,0.286270303249,0.158310344855
logistic_regression__02,1,6400,1600,0,0.873019230605,0.940503613298,0.0728035460719,0.282539785273,0.158223156724
logistic_regression__02,2,6400,1600,0,0.869120770718,0.938499957942,0.0725637450458,0.282637448819,0.15475531041
logistic_regression__02,3,6400,1600,0,0.871751997101,0.940641334567,0.0715566485368,0.280936815549,0.156126789781
logistic_regression__02,4,6400,1600,0,0.878218908192,0.942929920062,0.0725384877834,0.282804491065,0.160586750612
hist_gradient_boosting__03,0,6400,1600,0,0.768994643104,0.925413345888,0.134040036784,0.451847509688,0.280428382901
hist_gradient_boosting__03,1,6400,1600,0,0.859401009176,0.928445959338,0.134168247929,0.452102566624,0.282126015907
hist_gradient_boosting__03,2,6400,1600,0,0.766815314581,0.92229441754,0.133720691372,0.451175460638,0.280444281064
hist_gradient_boosting__03,3,6400,1600,0,0.770505925399,0.923085519335,0.133215128662,0.450090129624,0.280674780634
hist_gradient_boosting__03,4,6400,1600,0,0.866502293247,0.93163911818,0.134626492689,0.453129391168,0.286397879218
hist_gradient_boosting__04,0,6400,1600,0,0.768879428069,0.92539983577,0.127497420514,0.436606466668,0.268465204501
hist_gradient_boosting__04,1,6400,1600,0,0.859638476085,0.928491819928,0.127418566755,0.436419361484,0.270150716498
hist_gradient_boosting__04,2,6400,1600,0,0.766536232754,0.922229123301,0.127125663623,0.435806375532,0.268375975858
hist_gradient_boosting__04,3,6400,1600,0,0.861622768178,0.929374830269,0.126340373927,0.434133091353,0.268580162649
hist_gradient_boosting__04,4,6400,1600,0,0.866599925171,0.931677683977,0.127794259033,0.437291025448,0.274433861783
hist_gradient_boosting__05,0,6400,1600,0,0.752178584611,0.917710674458,0.190585139942,0.573327317397,0.349362385196
hist_gradient_boosting__05,1,6400,1600,0,0.759079562684,0.918372562533,0.190837588391,0.573845528059,0.322883161671
hist_gradient_boosting__05,2,6400,1600,0,0.759297495179,0.917871792175,0.190547675273,0.573256548395,0.347805377431
hist_gradient_boosting__05,3,6400,1600,0,0.758718088458,0.919215365675,0.190190528251,0.572534857466,0.349171731611
hist_gradient_boosting__05,4,6400,1600,0,0.765521444318,0.922521247584,0.191334043227,0.574856330303,0.325256277442
