merchant_kind,devices,legitimate_devices,attack_devices,legitimate_review_or_higher_rate,legitimate_block_rate,attack_review_or_higher_recall,attack_block_recall
education,143,122,21,0.0656,0.0164,1.0,0.7143
subscription,322,268,54,0.0485,0.0112,0.8704,0.5926
digital_goods,923,779,144,0.0719,0.0103,0.8472,0.5903
electronics,247,195,52,0.0359,0.0103,0.9038,0.6731
small_ecommerce,184,157,27,0.0318,0.0064,0.8889,0.7037
travel,415,324,91,0.0309,0.0062,0.8352,0.4945
flash_sale,367,288,79,0.0486,0.0035,0.9114,0.5823
