review_threshold,attack_devices,legitimate_devices,attack_review_or_higher_recall,attack_block_recall,attack_never_detected,legitimate_review_or_higher_rate,legitimate_block_rate,legitimate_reviewed_devices,legitimate_blocked_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt,cumulative_attack_detection,review_or_higher_attempts,review_or_higher_attempt_rate,benchmark_attempt_precision
0.4,468,2133,0.9551,0.5919,21,0.1458,0.0089,311,19,3.0,4.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.141, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.3611, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.7842, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.9274, 'block_rate': 0.1603}}",4790,0.3857,0.7827
0.45,468,2133,0.953,0.5919,22,0.1252,0.0089,267,19,3.0,4.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.1368, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.3291, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.7158, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.9209, 'block_rate': 0.1603}}",4581,0.3688,0.7966
0.5,468,2133,0.9423,0.5919,27,0.1092,0.0089,233,19,3.0,4.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.6474, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.1603}}",4374,0.3522,0.8098
0.55,468,2133,0.9423,0.5919,27,0.0933,0.0089,199,19,3.0,5.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.109, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.2821, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.5855, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.8825, 'block_rate': 0.1603}}",4190,0.3374,0.8232
0.6,468,2133,0.9338,0.5919,31,0.0816,0.0089,174,19,3.0,5.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0983, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.2692, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.5256, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.8611, 'block_rate': 0.1603}}",4030,0.3245,0.832
0.65,468,2133,0.9167,0.5919,39,0.0727,0.0089,155,19,4.0,6.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.062, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.2286, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.4316, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.8226, 'block_rate': 0.1603}}",3824,0.3079,0.8389
0.7,468,2133,0.8996,0.5919,47,0.0614,0.0089,131,19,4.0,6.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0534, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.2179, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.3483, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7799, 'block_rate': 0.1603}}",3583,0.2885,0.8493
0.75,468,2133,0.8739,0.5919,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1603}}",3334,0.2684,0.8608
0.8,468,2133,0.8355,0.5919,77,0.0431,0.0089,92,19,4.0,8.0,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0406, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1667, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2543, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.6047, 'block_rate': 0.1603}}",2999,0.2415,0.8776
