candidate,family,parameters_json,pr_auc,roc_auc,brier,log_loss,ece_10,threshold,precision,recall,f1,worst_subtype_coverage,macro_subtype_coverage,diagnostic_threshold,legitimate_interventions,fold_pr_auc_mean,fold_pr_auc_std,inference_fit_seconds_per_row,serialized_bytes,folds_json,diagnostic_json
logistic_regression__00,logistic_regression,"{""C"": 0.1, ""max_iter"": 500}",0.7779036532588429,0.9176670942216566,0.21288806268156832,0.6185369291780477,0.3535208994118614,0.502511697021202,0.6759114159494795,0.7216403774581778,0.6980277534398266,0.7388888888888889,0.8861111111111111,0.5419583495270944,203,0.7790583496689077,0.0020088209045071377,3.351628545297479e-05,7338,"[{""brier"": 0.2130414085374166, ""device_overlap"": 0, ""ece_10"": 0.35174391091821416, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.6188412979162298, ""pr_auc"": 0.7783205019623192, ""roc_auc"": 0.9178991266967645}, {""brier"": 0.2125211467391127, ""device_overlap"": 0, ""ece_10"": 0.3524258724998371, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.6177679394556752, ""pr_auc"": 0.7783799663869221, ""roc_auc"": 0.9186354964232866}, {""brier"": 0.21266571590490088, ""device_overlap"": 0, ""ece_10"": 0.3534366731759464, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.6180915345118447, ""pr_auc"": 0.7764408590315591, ""roc_auc"": 0.9171597471086763}, {""brier"": 0.21308932833207336, ""device_overlap"": 0, ""ece_10"": 0.3574456286872826, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.6189754488520118, ""pr_auc"": 0.7796285813479507, ""roc_auc"": 0.9198629734356947}, {""brier"": 0.21312271389433804, ""device_overlap"": 0, ""ece_10"": 0.35255241177802643, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.6190084251544766, ""pr_auc"": 0.7825218396157875, ""roc_auc"": 0.9203645786321475}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 203, ""macro_subtype_coverage"": 0.8861111111111111, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 1.0, ""denominator"": 480, ""numerator"": 480}, ""evasive"": {""coverage"": 0.9194444444444444, ""denominator"": 360, ""numerator"": 331}, ""patient"": {""coverage"": 0.7388888888888889, ""denominator"": 360, ""numerator"": 266}}, ""threshold"": 0.5419583495270944, ""worst_subtype_coverage"": 0.7388888888888889}"
logistic_regression__01,logistic_regression,"{""C"": 1.0, ""max_iter"": 500}",0.8057739354385732,0.9242454139835073,0.13001888915628454,0.4393642345051617,0.2588148695312315,0.5324600051649026,0.7136072479863925,0.7392867740549767,0.7262200715298811,0.8944444444444445,0.950925925925926,0.6715334560689432,203,0.8061602148025517,0.002920563421144395,2.7114125409038096e-05,7338,"[{""brier"": 0.13034544706217643, ""device_overlap"": 0, ""ece_10"": 0.2587724036537957, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.43996616202029093, ""pr_auc"": 0.803860575762488, ""roc_auc"": 0.9233831104062861}, {""brier"": 0.1299663799201236, ""device_overlap"": 0, ""ece_10"": 0.2586692087242227, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.43897427943088596, ""pr_auc"": 0.8062396524303098, ""roc_auc"": 0.9245511890420642}, {""brier"": 0.12957145282395854, ""device_overlap"": 0, ""ece_10"": 0.2569459208044982, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.4384024711026157, ""pr_auc"": 0.8026681436245303, ""roc_auc"": 0.9227509063218735}, {""brier"": 0.12960403541168983, ""device_overlap"": 0, ""ece_10"": 0.25652073293763866, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.43886564200822376, ""pr_auc"": 0.8069134705438227, ""roc_auc"": 0.9255719101732525}, {""brier"": 0.13060713056347423, ""device_overlap"": 0, ""ece_10"": 0.26316608153600235, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.44061261796379225, ""pr_auc"": 0.8111192316516075, ""roc_auc"": 0.9264340907594164}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 203, ""macro_subtype_coverage"": 0.950925925925926, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 1.0, ""denominator"": 480, ""numerator"": 480}, ""evasive"": {""coverage"": 0.9583333333333334, ""denominator"": 360, ""numerator"": 345}, ""patient"": {""coverage"": 0.8944444444444445, ""denominator"": 360, ""numerator"": 322}}, ""threshold"": 0.6715334560689432, ""worst_subtype_coverage"": 0.8944444444444445}"
logistic_regression__02,logistic_regression,"{""C"": 10.0, ""max_iter"": 500}",0.866568195758072,0.9392346696915819,0.07776145819467441,0.2979496181951599,0.16709642970487365,0.6022991485738092,0.8307488798705395,0.7645273176251836,0.7962636360331605,0.9916666666666667,0.9972222222222222,0.7518195232771492,203,0.8668073329068446,0.0031635306922480396,2.6763764553257216e-05,7338,"[{""brier"": 0.07857435727752256, ""device_overlap"": 0, ""ece_10"": 0.16789415303721233, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.3000459659283753, ""pr_auc"": 0.8642008470493807, ""roc_auc"": 0.9381912164961494}, {""brier"": 0.07830753343362135, ""device_overlap"": 0, ""ece_10"": 0.16772686761021302, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.298635657791585, ""pr_auc"": 0.8670197964399148, ""roc_auc"": 0.9400219827183302}, {""brier"": 0.07741632470752777, ""device_overlap"": 0, ""ece_10"": 0.16378655921678584, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.29702853489533093, ""pr_auc"": 0.8633854432624916, ""roc_auc"": 0.9373231293737601}, {""brier"": 0.07628173927057783, ""device_overlap"": 0, ""ece_10"": 0.16425037421634353, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.2951269486881796, ""pr_auc"": 0.8670153835064228, ""roc_auc"": 0.9398645655036922}, {""brier"": 0.07822733628412255, ""device_overlap"": 0, ""ece_10"": 0.1718241944438135, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.29891098367232893, ""pr_auc"": 0.8724151942760136, ""roc_auc"": 0.9413767509467669}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 203, ""macro_subtype_coverage"": 0.9972222222222222, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 1.0, ""denominator"": 480, ""numerator"": 480}, ""evasive"": {""coverage"": 1.0, ""denominator"": 360, ""numerator"": 360}, ""patient"": {""coverage"": 0.9916666666666667, ""denominator"": 360, ""numerator"": 357}}, ""threshold"": 0.7518195232771492, ""worst_subtype_coverage"": 0.9916666666666667}"
hist_gradient_boosting__03,hist_gradient_boosting,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",0.8646382700101232,0.9277307932420412,0.13709921749868262,0.45822829405292287,0.2816614009619355,0.5475894267266774,0.7667256616757318,0.8479113158048557,0.8052774384830842,0.9888888888888889,0.9928240740740741,0.6372332098798239,203,0.8629930925419457,0.0032972878958310195,0.00027207980284139384,166774,"[{""brier"": 0.1370206879158931, ""device_overlap"": 0, ""ece_10"": 0.2813079338072118, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.4580797611033738, ""pr_auc"": 0.8589126921347404, ""roc_auc"": 0.9297575418787533}, {""brier"": 0.137279294082803, ""device_overlap"": 0, ""ece_10"": 0.28187806897370465, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.45860164441490303, ""pr_auc"": 0.8637161046454287, ""roc_auc"": 0.9280047081278863}, {""brier"": 0.13705791489508265, ""device_overlap"": 0, ""ece_10"": 0.2799007763764793, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.4581167285734006, ""pr_auc"": 0.8599492369508146, ""roc_auc"": 0.9276891799344534}, {""brier"": 0.1358581840560616, ""device_overlap"": 0, ""ece_10"": 0.28073218346971257, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.45561282670986103, ""pr_auc"": 0.864265618953006, ""roc_auc"": 0.9286350924018282}, {""brier"": 0.13828000654357273, ""device_overlap"": 0, ""ece_10"": 0.28448804218256896, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.46073050946307587, ""pr_auc"": 0.8681218100257382, ""roc_auc"": 0.9307128690980022}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 203, ""macro_subtype_coverage"": 0.9928240740740741, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 0.9895833333333334, ""denominator"": 480, ""numerator"": 475}, ""evasive"": {""coverage"": 0.9888888888888889, ""denominator"": 360, ""numerator"": 356}, ""patient"": {""coverage"": 1.0, ""denominator"": 360, ""numerator"": 360}}, ""threshold"": 0.6372332098798239, ""worst_subtype_coverage"": 0.9888888888888889}"
hist_gradient_boosting__04,hist_gradient_boosting,"{""l2_regularization"": 2.0, ""learning_rate"": 0.08, ""max_iter"": 160, ""max_leaf_nodes"": 15}",0.8674676170258179,0.92816519883574,0.13028637350352446,0.4424512510024182,0.2694504267984103,0.5540220794152758,0.7711009495400375,0.8437842269351196,0.8058069119400162,0.99375,0.9979166666666667,0.6454842445922925,123,0.8642482916154556,0.003179384465280244,0.0007753357585527932,215542,"[{""brier"": 0.1301239825453342, ""device_overlap"": 0, ""ece_10"": 0.26914406314437506, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.4421360255132774, ""pr_auc"": 0.8648432413185598, ""roc_auc"": 0.9307457036662374}, {""brier"": 0.13044284115353263, ""device_overlap"": 0, ""ece_10"": 0.26954231779037047, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.44276963990306084, ""pr_auc"": 0.8639911812167158, ""roc_auc"": 0.9280465084004645}, {""brier"": 0.13024220563135291, ""device_overlap"": 0, ""ece_10"": 0.26745607716824776, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.4423199304416138, ""pr_auc"": 0.859548450651992, ""roc_auc"": 0.9277681152253868}, {""brier"": 0.1291369259707529, ""device_overlap"": 0, ""ece_10"": 0.2685510032773651, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.4400050771258981, ""pr_auc"": 0.8633862411255955, ""roc_auc"": 0.9284829733874747}, {""brier"": 0.1314859122166497, ""device_overlap"": 0, ""ece_10"": 0.272558672611693, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.4450255820282411, ""pr_auc"": 0.8694723437644147, ""roc_auc"": 0.9311022984193544}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 123, ""macro_subtype_coverage"": 0.9979166666666667, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 0.99375, ""denominator"": 480, ""numerator"": 477}, ""evasive"": {""coverage"": 1.0, ""denominator"": 360, ""numerator"": 360}, ""patient"": {""coverage"": 1.0, ""denominator"": 360, ""numerator"": 360}}, ""threshold"": 0.6454842445922925, ""worst_subtype_coverage"": 0.99375}"
hist_gradient_boosting__05,hist_gradient_boosting,"{""l2_regularization"": 4.0, ""learning_rate"": 0.05, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.6810653935113709,0.9077947903481927,0.1953623911354467,0.5829972782185667,0.3150314553305509,0.5424114553266973,0.7652093908181837,0.8165417292530188,0.7900426195888546,0.2,0.20000000000000004,0.578461573803029,161,0.6751940469449367,0.00143308465531891,0.0006570052157183186,181718,"[{""brier"": 0.1951924200174718, ""device_overlap"": 0, ""ece_10"": 0.31638742169254946, ""fit_devices"": 6400, ""fold"": 0, ""holdout_devices"": 1600, ""log_loss"": 0.582654448606388, ""pr_auc"": 0.6758494865953928, ""roc_auc"": 0.9082347295186772}, {""brier"": 0.19561183280292307, ""device_overlap"": 0, ""ece_10"": 0.31411227195115643, ""fit_devices"": 6400, ""fold"": 1, ""holdout_devices"": 1600, ""log_loss"": 0.5835020993700225, ""pr_auc"": 0.6740175442570544, ""roc_auc"": 0.9077378913293159}, {""brier"": 0.19511956323947607, ""device_overlap"": 0, ""ece_10"": 0.31559300317400124, ""fit_devices"": 6400, ""fold"": 2, ""holdout_devices"": 1600, ""log_loss"": 0.5825045640997795, ""pr_auc"": 0.6736157387008648, ""roc_auc"": 0.9069307632986936}, {""brier"": 0.19454660865871265, ""device_overlap"": 0, ""ece_10"": 0.31645589865744733, ""fit_devices"": 6400, ""fold"": 3, ""holdout_devices"": 1600, ""log_loss"": 0.5813483179757635, ""pr_auc"": 0.6748725721949079, ""roc_auc"": 0.908682390646183}, {""brier"": 0.19634153095864995, ""device_overlap"": 0, ""ece_10"": 0.31260868117759927, ""fit_devices"": 6400, ""fold"": 4, ""holdout_devices"": 1600, ""log_loss"": 0.5849769610408802, ""pr_auc"": 0.677614892976463, ""roc_auc"": 0.9114570345186452}]","{""legitimate_allowance"": 204, ""legitimate_interventions"": 161, ""macro_subtype_coverage"": 0.20000000000000004, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 0.2, ""denominator"": 480, ""numerator"": 96}, ""evasive"": {""coverage"": 0.2, ""denominator"": 360, ""numerator"": 72}, ""patient"": {""coverage"": 0.2, ""denominator"": 360, ""numerator"": 72}}, ""threshold"": 0.578461573803029, ""worst_subtype_coverage"": 0.2}"
rules_baseline,rules,{},0.5804811196533933,0.7788673517892928,0.10847219386966356,1.841195701717862,0.1183630762218109,0.1,0.7016048671347254,0.5862415463292829,0.6387561714209137,0.45555555555555555,0.6831018518518519,0.20000000000000004,110,,,0.0,0,[],"{""legitimate_allowance"": 204, ""legitimate_interventions"": 110, ""macro_subtype_coverage"": 0.6831018518518519, ""rate"": 0.03, ""subtypes"": {""burst"": {""coverage"": 0.99375, ""denominator"": 480, ""numerator"": 477}, ""evasive"": {""coverage"": 0.45555555555555555, ""denominator"": 360, ""numerator"": 164}, ""patient"": {""coverage"": 0.6, ""denominator"": 360, ""numerator"": 216}}, ""threshold"": 0.20000000000000004, ""worst_subtype_coverage"": 0.45555555555555555}"
